date,status,clean_candidate,has_reference,reference_within_tolerance,candidate_ohlc_valid,source_tick_issue,rounded_to_tick,max_abs_ohlc_diff,source_open,candidate_open,reference_open,open_abs_diff,source_high,candidate_high,reference_high,high_abs_diff,source_low,candidate_low,reference_low,low_abs_diff,source_close,candidate_close,reference_close,close_abs_diff,candidate_volume
2021-08-18,clean,True,True,True,True,False,False,0.0,14970.25,14970.25,14970.25,0.0,15037.25,15037.25,15037.25,0.0,14806.5,14806.5,14806.5,0.0,14849.25,14849.25,14849.25,0.0,568850.0
2021-08-19,clean,True,True,True,True,False,False,0.0,14840.0,14840.0,14840.0,0.0,14999.0,14999.0,14999.0,0.0,14710.5,14710.5,14710.5,0.0,14928.0,14928.0,14928.0,0.0,734180.0
2021-08-20,clean,True,True,True,True,False,False,0.0,14943.25,14943.25,14943.25,0.0,15100.0,15100.0,15100.0,0.0,14851.0,14851.0,14851.0,0.0,15086.75,15086.75,15086.75,0.0,504460.0
2021-08-21,no_reference,False,False,False,True,False,False,,15095.0,15095.0,,,15095.0,15095.0,,,15095.0,15095.0,,,15095.0,15095.0,,,0.0
2021-08-23,clean,True,True,True,True,False,False,0.0,15090.0,15090.0,15090.0,0.0,15337.5,15337.5,15337.5,0.0,15086.5,15086.5,15086.5,0.0,15304.5,15304.5,15304.5,0.0,412590.0
2021-08-24,clean,True,True,True,True,False,False,0.0,15327.0,15327.0,15327.0,0.0,15384.0,15384.0,15384.0,0.0,15309.5,15309.5,15309.5,0.0,15355.5,15355.5,15355.5,0.0,365580.0
2021-08-25,clean,True,True,True,True,False,False,0.0,15362.25,15362.25,15362.25,0.0,15397.0,15397.0,15397.0,0.0,15333.0,15333.0,15333.0,0.0,15364.25,15364.25,15364.25,0.0,405230.0
2021-08-26,clean,True,True,True,True,False,False,0.0,15367.25,15367.25,15367.25,0.0,15368.25,15368.25,15368.25,0.0,15255.25,15255.25,15255.25,0.0,15274.75,15274.75,15274.75,0.0,564380.0
2021-08-27,clean,True,True,True,True,False,False,0.0,15286.0,15286.0,15286.0,0.0,15443.75,15443.75,15443.75,0.0,15265.5,15265.5,15265.5,0.0,15426.5,15426.5,15426.5,0.0,441050.0
2021-08-28,no_reference,False,False,False,True,True,True,,15428.2,15428.25,,,15428.25,15428.25,,,15428.2,15428.25,,,15428.25,15428.25,,,435910.0
2021-08-30,clean,True,True,True,True,False,False,0.0,15432.75,15432.75,15432.75,0.0,15617.75,15617.75,15617.75,0.0,15420.0,15420.0,15420.0,0.0,15597.5,15597.5,15597.5,0.0,417560.0
2021-08-31,clean,True,True,True,True,False,False,0.0,15605.5,15605.5,15605.5,0.0,15677.25,15677.25,15677.25,0.0,15517.75,15517.75,15517.75,0.0,15582.5,15582.5,15582.5,0.0,521130.0
2021-09-01,clean,True,True,True,True,False,False,0.0,15599.5,15599.5,15599.5,0.0,15699.0,15699.0,15699.0,0.0,15578.5,15578.5,15578.5,0.0,15609.25,15609.25,15609.25,0.0,465490.0
2021-09-02,clean,True,True,True,True,False,False,0.0,15610.0,15610.0,15610.0,0.0,15682.0,15682.0,15682.0,0.0,15551.75,15551.75,15551.75,0.0,15601.0,15601.0,15601.0,0.0,463640.0
2021-09-03,clean,True,True,True,True,False,False,0.0,15601.0,15601.0,15601.0,0.0,15677.5,15677.5,15677.5,0.0,15552.25,15552.25,15552.25,0.0,15651.5,15651.5,15651.5,0.0,462870.0
2021-09-04,no_reference,False,False,False,True,False,False,,15655.0,15655.0,,,15655.0,15655.0,,,15655.0,15655.0,,,15655.0,15655.0,,,0.0
2021-09-05,no_reference,False,False,False,True,False,False,,15655.0,15655.0,,,15663.5,15663.5,,,15652.25,15652.25,,,15652.25,15652.25,,,2790.0
2021-09-06,no_reference,False,False,False,True,False,False,,15652.75,15652.75,,,15707.75,15707.75,,,15642.75,15642.75,,,15691.0,15691.0,,,59750.0
2021-09-07,clean,True,True,True,True,False,False,0.0,15656.0,15656.0,15656.0,0.0,15708.75,15708.75,15708.75,0.0,15606.75,15606.75,15606.75,0.0,15674.75,15674.75,15674.75,0.0,542060.0
2021-09-08,clean,True,True,True,True,False,False,0.0,15671.0,15671.0,15671.0,0.0,15691.0,15691.0,15691.0,0.0,15523.75,15523.75,15523.75,0.0,15620.0,15620.0,15620.0,0.0,559400.0
2021-09-09,clean,True,True,True,True,False,False,0.0,15610.0,15610.0,15610.0,0.0,15675.75,15675.75,15675.75,0.0,15545.75,15545.75,15545.75,0.0,15558.75,15558.75,15558.75,0.0,531290.0
