session_date,symbol,volume,rows
2021-09-29,NQZ1,643408.0,1380.0
2021-09-30,NQZ1,693549.0,1380.0
2021-10-01,NQZ1,656834.0,1380.0
2021-10-04,NQZ1,794012.0,1380.0
2021-10-05,NQZ1,566665.0,1380.0
2021-10-06,NQZ1,752582.0,1380.0
2021-10-07,NQZ1,490219.0,1380.0
2021-10-08,NQZ1,547172.0,1380.0
2021-10-11,NQZ1,508164.0,1380.0
2021-10-12,NQZ1,596259.0,1380.0
2021-10-13,NQZ1,544948.0,1380.0
2021-10-14,NQZ1,418944.0,1379.0
2021-10-15,NQZ1,430425.0,1380.0
2021-10-18,NQZ1,419449.0,1380.0
2021-10-19,NQZ1,379360.0,1380.0
2021-10-20,NQZ1,445283.0,1380.0
2021-10-21,NQZ1,433302.0,1380.0
2021-10-22,NQZ1,540553.0,1380.0
2021-10-25,NQZ1,451858.0,1380.0
2021-10-26,NQZ1,575429.0,1380.0
2021-10-27,NQZ1,529530.0,1380.0
2021-10-28,NQZ1,493609.0,1380.0
2021-10-29,NQZ1,480246.0,1380.0
2021-11-01,NQZ1,406825.0,1379.0
2021-11-02,NQZ1,416144.0,1380.0
2021-11-03,NQZ1,444077.0,1380.0
2021-11-04,NQZ1,516507.0,1380.0
2021-11-05,NQZ1,520157.0,1380.0
2021-11-07,NQZ1,25338.0,360.0
2021-11-08,NQZ1,386630.0,1019.0
2021-11-09,NQZ1,554796.0,1380.0
2021-11-10,NQZ1,651868.0,1380.0
2021-11-11,NQZ1,431255.0,1380.0
2021-11-12,NQZ1,416321.0,1380.0
2021-11-15,NQZ1,478866.0,1380.0
2021-11-16,NQZ1,420500.0,1380.0
2021-11-17,NQZ1,452811.0,1380.0
2021-11-18,NQZ1,593482.0,1380.0
2021-11-19,NQZ1,539481.0,1380.0
2021-11-22,NQZ1,760753.0,1380.0
2021-11-23,NQZ1,892466.0,1380.0
2021-11-24,NQZ1,649567.0,1380.0
2021-11-25,NQZ1,69045.0,1140.0
2021-11-26,NQZ1,600201.0,1155.0
2021-11-29,NQZ1,591322.0,1380.0
2021-11-30,NQZ1,842287.0,1380.0
2021-12-01,NQZ1,853902.0,1380.0
2021-12-02,NQZ1,848749.0,1380.0
2021-12-03,NQZ1,887284.0,1380.0
2021-12-06,NQZ1,685621.0,1380.0
2021-12-07,NQZ1,581779.0,1380.0
2021-12-08,NQZ1,487046.0,1380.0
2021-12-09,NQZ1,571964.0,1379.0
2021-12-10,NQH2,360582.0,1379.0
2021-12-13,NQH2,463957.0,1379.0
2021-12-14,NQH2,614901.0,1380.0
2021-12-15,NQH2,694899.0,1380.0
2021-12-16,NQH2,759024.0,1380.0
2021-12-17,NQH2,789976.0,1380.0
2021-12-20,NQH2,667240.0,1380.0
2021-12-21,NQH2,525724.0,1380.0
2021-12-22,NQH2,470801.0,1380.0
2021-12-23,NQH2,342116.0,1378.0
2021-12-27,NQH2,342714.0,1380.0
2021-12-28,NQH2,450279.0,1380.0
2021-12-29,NQH2,350903.0,1380.0
2021-12-30,NQH2,297625.0,1380.0
2021-12-31,NQH2,356417.0,1380.0
2022-01-03,NQH2,504450.0,1380.0
2022-01-04,NQH2,662505.0,1378.0
2022-01-05,NQH2,757475.0,1380.0
2022-01-06,NQH2,795973.0,1380.0
2022-01-07,NQH2,691221.0,1380.0
2022-01-10,NQH2,878786.0,1380.0
2022-01-11,NQH2,699955.0,1380.0
2022-01-12,NQH2,667343.0,1380.0
2022-01-13,NQH2,755580.0,1380.0
2022-01-14,NQH2,787445.0,1380.0
2022-01-17,NQH2,112541.0,1140.0
2022-01-18,NQH2,745245.0,1380.0
2022-01-19,NQH2,770382.0,1380.0
2022-01-20,NQH2,761353.0,1380.0
2022-01-21,NQH2,1028616.0,1380.0
2022-01-24,NQH2,1303230.0,1380.0
2022-01-25,NQH2,946402.0,1380.0
2022-01-26,NQH2,891406.0,1380.0
2022-01-27,NQH2,859780.0,1380.0
2022-01-28,NQH2,865706.0,1380.0
2022-01-31,NQH2,633957.0,1380.0
2022-02-01,NQH2,588584.0,1380.0
2022-02-02,NQH2,634118.0,1380.0
2022-02-03,NQH2,718006.0,1380.0
2022-02-04,NQH2,756854.0,1380.0
2022-02-07,NQH2,557023.0,1380.0
2022-02-08,NQH2,604136.0,1380.0
2022-02-09,NQH2,524003.0,1380.0
2022-02-10,NQH2,819340.0,1380.0
2022-02-11,NQH2,826196.0,1380.0
2022-02-14,NQH2,728325.0,1380.0
2022-02-15,NQH2,555548.0,1380.0
2022-02-16,NQH2,588400.0,1379.0
2022-02-17,NQH2,623351.0,1380.0
2022-02-18,NQH2,755017.0,1380.0
2022-02-21,NQH2,237329.0,1140.0
2022-02-22,NQH2,866783.0,1380.0
2022-02-23,NQH2,703160.0,1380.0
2022-02-24,NQH2,1108984.0,1380.0
2022-02-25,NQH2,775139.0,1380.0
2022-02-28,NQH2,745430.0,1380.0
2022-03-01,NQH2,638647.0,1380.0
2022-03-02,NQH2,620637.0,1380.0
2022-03-03,NQH2,591227.0,1380.0
2022-03-04,NQH2,716139.0,1380.0
2022-03-07,NQH2,702994.0,1380.0
2022-03-08,NQH2,827156.0,1380.0
2022-03-09,NQH2,639501.0,1380.0
2022-03-10,NQH2,577120.0,1380.0
2022-03-11,NQH2,374044.0,1380.0
2022-03-14,NQM2,467073.0,1380.0
2022-03-15,NQM2,483606.0,1380.0
2022-03-16,NQM2,606412.0,1380.0
2022-03-17,NQM2,496084.0,1380.0
2022-03-18,NQM2,543218.0,1380.0
2022-03-21,NQM2,580301.0,1380.0
2022-03-22,NQM2,501944.0,1380.0
2022-03-23,NQM2,543738.0,1380.0
2022-03-24,NQM2,509230.0,1380.0
2022-03-25,NQM2,545812.0,1380.0
2022-03-28,NQM2,528091.0,1380.0
2022-03-29,NQM2,547396.0,1380.0
2022-03-30,NQM2,505564.0,1380.0
2022-03-31,NQM2,549683.0,1380.0
2022-04-01,NQM2,534666.0,1380.0
2022-04-04,NQM2,451403.0,1380.0
2022-04-05,NQM2,556453.0,1380.0
2022-04-06,NQM2,775509.0,1380.0
2022-04-07,NQM2,640433.0,1380.0
2022-04-08,NQM2,634753.0,1379.0
2022-04-11,NQM2,563655.0,1380.0
2022-04-12,NQM2,701632.0,1380.0
2022-04-13,NQM2,523210.0,1380.0
2022-04-14,NQM2,538470.0,1380.0
2022-04-18,NQM2,489413.0,1380.0
2022-04-19,NQM2,550045.0,1380.0
2022-04-20,NQM2,600509.0,1380.0
2022-04-21,NQM2,678743.0,1380.0
2022-04-22,NQM2,723764.0,1380.0
2022-04-25,NQM2,741421.0,1380.0
